arXiv_ID,at_uri,AuthorDID,CreatedDate,SearchText
2502.16710v1,at://did:plc:npdmdaf7sxhjqc5poh6tkqrr/app.bsky.feed.post/3liy7ibifze2m,did:plc:npdmdaf7sxhjqc5poh6tkqrr,2025-02-25T06:13:53.543570+00:00,"""temperley trick, totally non-negative matrices, effective resistances. [4/4 of https://arxiv.org/abs/2502.16710v1]        """
2502.14540v1,at://did:plc:tngqpoay4binfjr5zyymgm3e/app.bsky.feed.post/3lio4mmsxqg2v,did:plc:tngqpoay4binfjr5zyymgm3e,2025-02-21T05:56:01.038970+00:00,"""np-complete in both the strict and non-strict setting. we additionally provide a set of restrictions in the non-strict setting which makes the problem solvable in polynomial time and design an algorithm achieving this [4/6 of https://arxiv.org/abs/2502.14540v1]        """
2407.02573,at://did:plc:32r7scd5hucgv552zjfuaigc/app.bsky.feed.post/3lgct2xmy3o2e,did:plc:32r7scd5hucgv552zjfuaigc,2025-01-22T07:15:24.218762+00:00,"""repository for extended dark matter object constraints. (replaced) djuna croon et. al. https://arxiv.org/abs/2407.02573       """
2405.08064,at://did:plc:232wt2erhh4fr7m7crk5bj2t/app.bsky.feed.post/3lhzxrzqtlav2,did:plc:232wt2erhh4fr7m7crk5bj2t,2025-02-13T05:00:00.000Z,"""\n\nhttps://arxiv.org/abs/2405.08064\n\n#astro-ph.co #hep-ph\n\nevent attributes https://arxiv.org/abs/2405.08064 dark matter-radiation scattering enhances cmb phase shift through dark matter-loading a phase shift in the acoustic oscillations of cmb spectra is a characteristic signature for the presence of non-photon radiation propagating differently from photons, even when the radiation couples to sm particles solely gravitationally. it is well-established that compared to the presence of free-streaming radiation, cmb spectra shift to higher $\ell$-modes in the presence of self-interacting non-photon radiation such as neutrinos and dark radiation. in this study, we further demonstrate that the scattering of non-photon radiation with dark matter can further amplify this phase shift. we show that when the energy density of the interacting radiation surpasses that of interacting dark matter around matter-radiation equality, the phase shift enhancement is proportional to the interacting dark matter abundance and remains insensitive to the radiation energy density. given the presence of dark matter-radiation interaction, this additional phase shift emerges as a generic signature of models featuring an interacting dark sector or neutrino-dark matter scattering. using neutrino-dark matter scattering as an example, we numerically calculate the amplified phase shift and offer an analytical interpretation of the result by modeling photon and neutrino perturbations with coupled harmonic oscillators. this framework also explains the phase shift contrast between self-interacting and free-streaming neutrinos. fitting models with neutrino-dark matter or dark radiation-dark matter interactions to cmb and large-scale structure data, we validate the presence of the enhanced phase shift, affirmed by the linear dependence observed between the preferred regions of the sound horizon angle $θ_s$ and interacting dark matter abundance. an increased $θ_s$ and a suppressed matter power spectrum is therefore a generic feature of models containing dark matter scattering with abundant dark radiation.     """
2405.08064,at://did:plc:232wt2erhh4fr7m7crk5bj2t/app.bsky.feed.post/3lhzxrzqtlav2,did:plc:232wt2erhh4fr7m7crk5bj2t,2025-02-13T05:00:00.000Z,"""\n\nhttps://arxiv.org/abs/2405.08064\n\n#astro-ph.co #hep-ph\n\nevent attributes https://arxiv.org/abs/2405.08064 dark matter-radiation scattering enhances cmb phase shift through dark matter-loading a phase shift in the acoustic oscillations of cmb spectra is a characteristic signature for the presence of non-photon radiation propagating differently from photons, even when the radiation couples to sm particles solely gravitationally. it is well-established that compared to the presence of free-streaming radiation, cmb spectra shift to higher $\ell$-modes in the presence of self-interacting non-photon radiation such as neutrinos and dark radiation. in this study, we further demonstrate that the scattering of non-photon radiation with dark matter can further amplify this phase shift. we show that when the energy density of the interacting radiation surpasses that of interacting dark matter around matter-radiation equality, the phase shift enhancement is proportional to the interacting dark matter abundance and remains insensitive to the radiation energy density. given the presence of dark matter-radiation interaction, this additional phase shift emerges as a generic signature of models featuring an interacting dark sector or neutrino-dark matter scattering. using neutrino-dark matter scattering as an example, we numerically calculate the amplified phase shift and offer an analytical interpretation of the result by modeling photon and neutrino perturbations with coupled harmonic oscillators. this framework also explains the phase shift contrast between self-interacting and free-streaming neutrinos. fitting models with neutrino-dark matter or dark radiation-dark matter interactions to cmb and large-scale structure data, we validate the presence of the enhanced phase shift, affirmed by the linear dependence observed between the preferred regions of the sound horizon angle $θ_s$ and interacting dark matter abundance. an increased $θ_s$ and a suppressed matter power spectrum is therefore a generic feature of models containing dark matter scattering with abundant dark radiation.     """
2502.15985v1,at://did:plc:r6fkqeqhyuhq3nyeqdh5dgnr/app.bsky.feed.post/3liy7aty22t2p,did:plc:r6fkqeqhyuhq3nyeqdh5dgnr,2025-02-25T06:09:44.468559+00:00,"""antiferromagnets, despite their growing significance in spintronics. here, we demonstrate nonvolatile electric field control of magnetoelectric characteristics in van der waals antiferromagnet crsbr. we integrate a crsbr [3/6 of https://arxiv.org/abs/2502.15985v1]        """
2502.06677,at://did:plc:7h4flfst4mgmmf4p5m3v6gc3/app.bsky.feed.post/3lhv2gx7bkt2h,did:plc:7h4flfst4mgmmf4p5m3v6gc3,2025-02-11T06:40:28.810730Z,"""roberta di gennaro, rosa maria mir\'o-roig\nsaito's theorem revisited and application to free pencils of hypersurfaces\nhttps://arxiv.org/abs/2502.06677        """
2502.15043,at://did:plc:mb4h2fb32okk4ka4py3yqwli/app.bsky.feed.post/3livo7av4fg2v,did:plc:mb4h2fb32okk4ka4py3yqwli,2025-02-24T05:59:17.842670+00:00,"""jean-baptiste bouvier, kanghyun ryu, kartik nagpal, qiayuan liao, koushil sreenath, negar mehr: ddat: diffusion policies enforcing dynamically admissible robot trajectories https://arxiv.org/abs/2502.15043 https://arxiv.org/pdf/2502.15043 https://arxiv.org/html/2502.15043        """
2502.15043,at://did:plc:mb4h2fb32okk4ka4py3yqwli/app.bsky.feed.post/3livo7av4fg2v,did:plc:mb4h2fb32okk4ka4py3yqwli,2025-02-24T05:59:17.842670+00:00,"""jean-baptiste bouvier, kanghyun ryu, kartik nagpal, qiayuan liao, koushil sreenath, negar mehr: ddat: diffusion policies enforcing dynamically admissible robot trajectories https://arxiv.org/abs/2502.15043 https://arxiv.org/pdf/2502.15043 https://arxiv.org/html/2502.15043        """
2209.05433,at://did:plc:e5nncb3dr5thdkjir5cfaqfe/app.bsky.feed.post/3lgsihwgic22a,did:plc:e5nncb3dr5thdkjir5cfaqfe,2025-01-28T12:48:23.969Z,"""ai jargon decompiler: fp8_e4m3\n\nfp8: 8 bit floating number\ne4: 4 bits exponent\nm3: 3 bits mantissa\n\ncitation: arxiv.org/abs/2209.05433 https://arxiv.org/abs/2209.05433 fp8 formats for deep learning fp8 is a natural progression for accelerating deep learning training inference beyond the 16-bit formats common in modern processors. in this paper we propose an 8-bit floating point (fp8) binary inte...     """
2502.12216,at://did:plc:3mbqqo3dxddhl7nwqmghsn6a/app.bsky.feed.post/3lij4mmutud2y,did:plc:3mbqqo3dxddhl7nwqmghsn6a,2025-02-19T06:12:42.409707+00:00,"""zhu, tang, xu, gu, zeng, kadekodi, zhao, li, krishnamurthy, kasikci: tactic: adaptive sparse attention with clustering and distribution fitting for long-context llms https://arxiv.org/abs/2502.12216 https://arxiv.org/pdf/2502.12216 https://arxiv.org/html/2502.12216        """
2502.12216,at://did:plc:3mbqqo3dxddhl7nwqmghsn6a/app.bsky.feed.post/3lij4mmutud2y,did:plc:3mbqqo3dxddhl7nwqmghsn6a,2025-02-19T06:12:42.409707+00:00,"""zhu, tang, xu, gu, zeng, kadekodi, zhao, li, krishnamurthy, kasikci: tactic: adaptive sparse attention with clustering and distribution fitting for long-context llms https://arxiv.org/abs/2502.12216 https://arxiv.org/pdf/2502.12216 https://arxiv.org/html/2502.12216        """
2502.14849v1,at://did:plc:5bj3ztikrj4nb33oajuxn6oq/app.bsky.feed.post/3lio5duuud32q,did:plc:5bj3ztikrj4nb33oajuxn6oq,2025-02-21T06:09:01.249694+00:00,"""energy along the weakly trapped directions of the sample, indicating the three-dimensional nature of the studied phenomena. finally, our analysis shows that the difference between the two excitation mechanisms lies on the [6/7 of https://arxiv.org/abs/2502.14849v1]        """
